"feed temperature (C)","feed flow (t/HR)","steam flow (kg/hr)",top pressure  (mm-water-G),bottom pressure (mm-water-G),top temperature (C),bottom temperature (C),"bottom EDC (ppm)",Status
50,10,2600,1400,1600,103.985828,104.106009,0.30919723,OK
50,10,2600,1400,1700,104.160618,104.346133,0.314877468,OK
50,10,2600,1400,1800,104.334635,104.584614,0.320693005,OK
50,10,2600,1400,1900,104.507892,104.821479,0.326647309,OK
50,10,2600,1400,2000,104.6804,105.05675,0.332743939,OK
50,10,2800,400,500,101.21415,101.348517,0.157953046,OK
50,10,2800,400,600,101.398814,101.60853,0.160357982,OK
50,10,2800,400,700,101.582513,101.866587,0.162814691,OK
50,10,2800,400,800,101.765262,102.122715,0.16532327,OK
50,10,2800,400,900,101.947076,102.376949,0.16788493,OK
50,10,2800,400,1000,102.127969,102.629318,0.17050091,OK
50,10,2800,500,600,101.478202,101.608531,0.163509906,OK
50,10,2800,500,700,101.661687,101.866586,0.166015974,OK
50,10,2800,500,800,101.844223,102.122715,0.168574983,OK
50,10,2800,500,900,102.025825,102.376949,0.171188194,OK
50,10,2800,500,1000,102.206508,102.629317,0.173856873,OK
50,10,2800,500,1100,102.386287,102.879852,0.176582319,OK
50,10,2800,600,700,101.740393,101.866587,0.169256026,OK
50,10,2800,600,800,101.922718,102.122715,0.171866235,OK
50,10,2800,600,900,102.104111,102.376948,0.174531757,OK
50,10,2800,600,1000,102.284586,102.629317,0.177253911,OK
50,10,2800,600,1100,102.464158,102.879852,0.180034021,OK
50,10,2800,600,1200,102.642841,103.128581,0.182873448,OK
50,10,2800,700,800,102.000755,102.122716,0.175197441,OK
50,10,2800,700,900,102.18194,102.376948,0.177916068,OK
50,10,2800,700,1000,102.362209,102.629317,0.18069248,OK
50,10,2800,700,1100,102.541576,102.879851,0.183528056,OK
50,10,2800,700,1200,102.720055,103.128581,0.186424182,OK
50,10,2800,700,1300,102.897661,103.375535,0.189382283,OK
50,10,2800,800,900,102.25932,102.376949,0.181341554,OK
50,10,2800,800,1000,102.439384,102.629317,0.18417304,OK
50,10,2800,800,1100,102.618548,102.879851,0.187064889,OK
50,10,2800,800,1200,102.796825,103.128581,0.190018538,OK
50,10,2800,800,1300,102.974231,103.375535,0.193035442,OK
50,10,2800,800,1400,103.150777,103.620741,0.19611709,OK
50,10,2800,900,1000,102.51612,102.629318,0.187696029,OK
50,10,2800,900,1100,102.695082,102.879851,0.190644989,OK
50,10,2800,900,1200,102.873159,103.128581,0.193656994,OK
50,10,2800,900,1300,103.050366,103.375534,0.196733549,OK
50,10,2800,900,1400,103.226715,103.62074,0.199876174,OK
50,10,2800,900,1500,103.402219,103.864226,0.203086429,OK
50,10,2800,1000,1100,102.771184,102.879852,0.194268803,OK
50,10,2800,1000,1200,102.949063,103.12858,0.197340025,OK
50,10,2800,1000,1300,103.126073,103.375534,0.200477087,OK
50,10,2800,1000,1400,103.302226,103.62074,0.203681563,OK
50,10,2800,1000,1500,103.477535,103.864225,0.206955042,OK
50,10,2800,1000,1600,103.652015,104.106017,0.210299155,OK
50,10,2800,1100,1200,103.024544,103.128581,0.201068089,OK
50,10,2800,1100,1300,103.201358,103.375534,0.204266544,OK
50,10,2800,1100,1400,103.377317,103.62074,0.20753375,OK
50,10,2800,1100,1500,103.552434,103.864225,0.210871351,OK
50,10,2800,1100,1600,103.726722,104.106017,0.214281009,OK
50,10,2800,1100,1700,103.900193,104.346141,0.217764431,OK
50,10,2800,1200,1300,103.276229,103.375535,0.208102384,OK
50,10,2800,1200,1400,103.451995,103.62074,0.211433229,OK
50,10,2800,1200,1500,103.626921,103.864225,0.214835856,OK
50,10,2800,1200,1600,103.801018,104.106016,0.218311983,OK
50,10,2800,1200,1700,103.974301,104.34614,0.221863346,OK
50,10,2800,1200,1800,104.146781,104.584622,0.225491729,OK
50,10,2800,1300,1400,103.526266,103.62074,0.215380473,OK
50,10,2800,1300,1500,103.701002,103.864225,0.21884906,OK
50,10,2800,1300,1600,103.874911,104.106016,0.222392583,OK
50,10,2800,1300,1700,104.048007,104.34614,0.226012835,OK
50,10,2800,1300,1800,104.2203,104.584622,0.229711633,OK
50,10,2800,1300,1900,104.391804,104.821486,0.233490841,OK
50,10,2800,1400,1500,103.774684,103.864225,0.222911443,OK
50,10,2800,1400,1600,103.948407,104.106016,0.226523319,OK
50,10,2800,1400,1700,104.121316,104.34614,0.230213414,OK
50,10,2800,1400,1800,104.293425,104.584622,0.2339836,OK
50,10,2800,1400,1900,104.464745,104.821486,0.237835775,OK
50,10,2800,1400,2000,104.635289,105.056757,0.241771886,OK
50,10,3000,400,500,101.200138,101.34852,0.121632033,OK
50,10,3000,400,600,101.383596,101.608533,0.123326582,OK
50,10,3000,400,700,101.566066,101.86659,0.125054334,OK
50,10,3000,400,800,101.747561,102.122718,0.126815483,OK
50,10,3000,400,900,101.928097,102.376952,0.128610741,OK
50,10,3000,400,1000,102.107688,102.629321,0.130440835,OK
50,10,3000,500,600,101.463224,101.608534,0.125793165,OK
50,10,3000,500,700,101.645484,101.866589,0.127554785,OK
50,10,3000,500,800,101.826771,102.122718,0.129350481,OK
